,name,score
2492,rtx 4000 sff ada generation,20292
2493,rtx 4500 ada generation,27500
2494,rtx 500 ada generation laptop,10940
2495,rtx 5000 ada generation,30439
2496,rtx 5000 ada generation embedded,20311
2497,rtx 5000 ada generation laptop,23627
2498,rtx 5880 ada generation,23750
2499,rtx 6000 ada generation,28120
2500,rtx a1000,10729
2501,rtx a1000 6gb laptop,10070
2502,rtx a1000 embedded,11460
2503,rtx a1000 laptop,9519
2504,rtx a2000,13548
2505,rtx a2000 12gb,13709
2506,rtx a2000 8gb laptop,10633
2507,rtx a2000 embedded,10860
2508,rtx a2000 laptop,9605
2509,rtx a3000 12gb laptop,13737
2510,rtx a3000 laptop,12778
2511,rtx a400,5930
2512,rtx a4000,19477
2513,rtx a4000 laptop,14823
2514,rtx a4500,21183
2515,rtx a4500 embedded,8485
2516,rtx a4500 laptop,16625
2517,rtx a500 embedded,5404
2518,rtx a500 laptop,6649
2519,rtx a5000,22516
2520,rtx a5000 laptop,15840
2521,rtx a5500,21389
2522,rtx a5500 laptop,17297
2523,rtx a6000,22561
2524,rtx pro 1000 blackwell generation laptop,16400
2525,rtx pro 2000 blackwell generation laptop,16599
2526,rtx pro 3000 blackwell generation laptop,32375
2527,rtx pro 4000 blackwell generation laptop,30028
2528,rtx pro 500 blackwell generation laptop,12992
2529,rtx pro 6000 blackwell max q workstation edition,33019
2530,rtx pro 6000 blackwell workstation edition,30585
2531,rv530 pro,118
2532,ryzen 3 4300g with radeon,1544
2533,ryzen 3 4300ge with radeon,2322
2534,ryzen 3 4300u with radeon,1364
2535,ryzen 3 5300g with radeon,1956
2536,ryzen 3 5300ge with radeon,1950
2537,ryzen 3 5300u with radeon,1539
2538,ryzen 3 5400u with radeon,1600
2539,ryzen 3 5425u with radeon,1691
2540,ryzen 3 7330u with radeon,1693
2541,ryzen 3 7335u with radeon,1980
2542,ryzen 3 pro 4200ge with radeon,1748
2543,ryzen 3 pro 4300u with radeon,1542
2544,ryzen 3 pro 4350g with radeon,2070
2545,ryzen 3 pro 4350ge with radeon,1931
2546,ryzen 3 pro 4450u with radeon,1503
2547,ryzen 3 pro 5350g with radeon,2299
2548,ryzen 3 pro 5350ge with radeon,1827
2549,ryzen 3 pro 5450u with radeon,1617
2550,ryzen 3 pro 5475u with radeon,1431
2551,ryzen 3 pro 7330u with radeon,2144
2552,ryzen 5 2500u with radeon vega,1503
2553,ryzen 5 4500u with radeon,1807
2554,ryzen 5 4600g with radeon,2340
2555,ryzen 5 4600h with radeon,2123
2556,ryzen 5 4600hs with radeon,8370
2557,ryzen 5 4600u with radeon,1904
2558,ryzen 5 5500gt with radeon,2224
2559,ryzen 5 5500u with radeon,1970
2560,ryzen 5 5560u with radeon,2098
2561,ryzen 5 5600g with radeon,2560
2562,ryzen 5 5600ge with radeon,2547
2563,ryzen 5 5600gt with radeon,2200
2564,ryzen 5 5600h with radeon,2297
2565,ryzen 5 5600u with radeon,2150
2566,ryzen 5 5625u with radeon,1996
2567,ryzen 5 6600h with radeon,3579
2568,ryzen 5 6600hs creator edition,3690
2569,ryzen 5 6600u with radeon,3233
2570,ryzen 5 7430u with radeon,2270
2571,ryzen 5 7530u with radeon,2250
2572,ryzen 5 7535u with radeon,3323
2573,ryzen 5 9600x 6 core processor,1858
2574,ryzen 5 pro 4400g with radeon,2305
2575,ryzen 5 pro 4400ge with radeon,1441
2576,ryzen 5 pro 4500u with radeon,2007
2577,ryzen 5 pro 4650g with radeon,2382
2578,ryzen 5 pro 4650ge with radeon,2156
2579,ryzen 5 pro 4650u with radeon,1673
2580,ryzen 5 pro 5650g with radeon,2481
2581,ryzen 5 pro 5650ge with radeon,2455
2582,ryzen 5 pro 5650u with radeon,1959
2583,ryzen 5 pro 5675u with radeon,1719
2584,ryzen 5 pro 6650u,3519
2585,ryzen 5 pro 6650u with radeon,3533
2586,ryzen 5 pro 7530u with radeon,1877
2587,ryzen 5 pro 7535u with radeon,3750
2588,ryzen 7 2700u with radeon vega,1617
2589,ryzen 7 4700g with radeon,2186
2590,ryzen 7 4700ge with radeon,2496
2591,ryzen 7 4700u with radeon,2034
2592,ryzen 7 4800h with radeon,2113
2593,ryzen 7 4800u with radeon,2343
2594,ryzen 7 5700g with radeon,2761
2595,ryzen 7 5700ge with radeon,2762
2596,ryzen 7 5700u with radeon,2241
2597,ryzen 7 5800h with radeon,2736
2598,ryzen 7 5800hs with radeon,2795
2599,ryzen 7 5800u with radeon,2310
2600,ryzen 7 5825u with radeon,2351
2601,ryzen 7 6800h,5247
2602,ryzen 7 6800h with radeon,4959
2603,ryzen 7 6800hs,5237
2604,ryzen 7 6800hs creator edition,5465
2605,ryzen 7 6800hs with radeon,6240
2606,ryzen 7 6800u,5006
2607,ryzen 7 6800u with radeon,4760
2608,ryzen 7 7730u with radeon,2433
2609,ryzen 7 7735hs with radeon,5175
2610,ryzen 7 7735u with radeon,5081
2611,ryzen 7 9700x 8 core processor,2250
2612,ryzen 7 9800x3d 8 core processor,1830
2613,ryzen 7 extreme edition,2151
2614,ryzen 7 pro 4750g with radeon,2681
2615,ryzen 7 pro 4750ge with radeon,2549
2616,ryzen 7 pro 4750u with radeon,2029
2617,ryzen 7 pro 5750g with radeon,2392
2618,ryzen 7 pro 5750ge with radeon,2458
2619,ryzen 7 pro 5850u with radeon,2307
2620,ryzen 7 pro 5875u with radeon,2067
2621,ryzen 7 pro 6850h with radeon,5790
2622,ryzen 7 pro 6850hs with radeon,4087
2623,ryzen 7 pro 6850u,5580
2624,ryzen 7 pro 6850u with radeon,5116
2625,ryzen 7 pro 6860z,5076
2626,ryzen 7 pro 6860z with radeon,4869
2627,ryzen 7 pro 7730u with radeon,2566
2628,ryzen 7 pro 7735u with radeon,5142
2629,ryzen 9 4900hs with radeon,7022
2630,ryzen 9 5900hs with radeon,5479
2631,ryzen 9 5900hx with radeon,2936
2632,ryzen 9 6900hs,8005
2633,ryzen 9 6900hs with radeon,6109
2634,ryzen 9 6900hx with radeon,5157
2635,ryzen 9 9900x 12 core processor,1729
2636,ryzen 9 9950x 16 core processor,1770
2637,ryzen 9 pro 6950h,5758
2638,ryzen 9 pro 6950h with radeon,6176
2639,ryzen 9 pro 6950hs with radeon,4704
2640,s3 5400ew,146
2641,s3 chrome 430 ulp,39
2642,s3 chrome s25 ddr2,18
2643,s3 chrome s27 ddr3,33
2644,s3 inc savage4,3
2645,s3 prosavageddr,1
2646,s3 supersavage ixc 1014,1
2647,sapphire radeon 9000 atlantis pro,5
2648,sapphire radeon 9600 atlantis,47
2649,sapphire radeon x1550,61
2650,sapphire radeon x800 gt,112
2651,seria mobility radeon hd 3400,124
2652,seria radeon hd 7700,1603
2653,snapdragon x elite x1e001de qualcomm adreno gp,3245
2654,snapdragon x elite x1e78100 qualcomm adreno gp,2565
2655,snapdragon x elite x1e80100 qualcomm adreno gp,2604
2656,snapdragon x elite x1e84100 qualcomm adreno gp,2981
2657,snapdragon x plus x1p64100 qualcomm adreno,2601
2658,sqextframebufferumode device,1752
2659,sudomaker virtual display adapter,22074
2660,sumo 9640,650
2661,sumo 9644,465
2662,sumo 964a,497
2663,superdisplay virtual adapter,10390
2664,surface duo adreno 640,592
2665,t1000,7646
2666,t1000 8gb,7663
2667,t1200 laptop,7753
2668,t400,3603
2669,t400 4gb,3797
2670,t500,3632
2671,t550 laptop,4792
2672,t600,6478
2673,t600 laptop,7037
2674,tensor 1 0 driver hd 630,1299
2675,tesla c2050,3175
2676,tesla c2050 c2070,3428
2677,tesla c2070,3120
2678,tesla c2075,3016
2679,tesla k20m,4432
2680,tesla k20xm,4403
2681,tesla k40c,4494
2682,tesla k40m,3143
2683,tesla k80,4300
2684,tesla m10,3248
2685,tesla m2070 q,1305
2686,tesla m40,10219
2687,tesla m40 24gb,10641
2688,tesla m6,6226
2689,tesla m60,7651
2690,tesla p100 pcie 16gb,11813
2691,tesla p4,9097
2692,tesla p40,12020
2693,tesla t10,12557
2694,tesla t4,10647
2695,tesla v100 pcie 16gb,12328
2696,tesla v100 sxm2 16gb,13625
2697,titan rtx,20468
2698,titan v,19804
2699,titan v ceo edition,16987
2700,titan xp collectors edition,18695
2701,trinity devastator mobile,578
2702,trinity scrapper mobile,498
2703,usb mobile monitor virtual display,15222
2704,v9560xt,6
2705,vanta vanta lt,3
2706,via chrome9 hc igp,4
2707,via chrome9 hc igp family,3
2708,via chrome9 hc igp family wddm,3
2709,via chrome9 hc igp prerelease wddm 1 1,2
2710,via chrome9 hc igp wddm,2
2711,via chrome9 hc igp wddm 1 1,3
2712,via chrome9 hc3 igp,2
2713,via chrome9 hcm igp,1
2714,via chrome9 hd igp,10
2715,via s3g c 645 640,132
2716,via s3g chrome 645 640,109
2717,via s3g deltachrome igp,3
2718,via s3g km400 kn400,4
2719,via s3g unichrome igp,4
2720,via s3g unichrome pro igp,4
2721,via s3g unichromeii,5
2722,virtual desktop monitor,19005
2723,virtual display device,1661
2724,virtualmonitor device,2130
2725,visiontek radeon 7000,1
2726,vmware horizon indirect display driver,3565
2727,vnc mirror driver,5764
2728,winfast a250 le,4
2729,xabre,5
2730,xgi volari family v1 13 23 d v,4
2731,zx c 1080,315
2732,zx c 1190,346
2733,zx c 960,69
2734,zx chrome 645 640,147
